check_id,dataset,rule,severity,records_checked,records_failed,status,message
CUS-001,customers,customer_id NOT NULL,CRITICAL,1000,0,PASS,customer_id must not be null or empty
CUS-002,customers,customer_id UNIQUE,CRITICAL,1000,0,PASS,customer_id must be unique
CUS-003,customers,email NOT NULL,CRITICAL,1000,0,PASS,email must not be null or empty
PRD-001,products,product_id NOT NULL,CRITICAL,300,0,PASS,product_id must not be null or empty
PRD-002,products,product_id UNIQUE,CRITICAL,300,0,PASS,product_id must be unique
PRD-003,products,unit_cost >= 0,CRITICAL,300,0,PASS,unit_cost must be numeric and >= 0
PRD-004,products,list_price >= 0,CRITICAL,300,0,PASS,list_price must be numeric and >= 0
ORD-001,orders,order_id UNIQUE,CRITICAL,5000,0,PASS,order_id must be unique
ORD-002,orders,customer_id references customers,CRITICAL,5000,0,PASS,customer_id must exist in referenced dataset
ORD-003,orders,status allowed,CRITICAL,5000,0,PASS,"status must be one of: CANCELLED, COMPLETED, PENDING, RETURNED"
ORD-004,orders,total_amount >= 0,CRITICAL,5000,0,PASS,total_amount must be numeric and >= 0
ITM-001,order_items,order_item_id UNIQUE,CRITICAL,12441,0,PASS,order_item_id must be unique
ITM-002,order_items,order_id references orders,CRITICAL,12441,0,PASS,order_id must exist in referenced dataset
ITM-003,order_items,product_id references products,CRITICAL,12441,0,PASS,product_id must exist in referenced dataset
ITM-004,order_items,quantity > 0,CRITICAL,12441,0,PASS,quantity must be numeric and >= 1
PAY-001,payments,payment_id UNIQUE,CRITICAL,5000,0,PASS,payment_id must be unique
PAY-002,payments,order_id references orders,CRITICAL,5000,0,PASS,order_id must exist in referenced dataset
PAY-003,payments,payment_status allowed,CRITICAL,5000,0,PASS,"payment_status must be one of: APPROVED, REFUNDED, REJECTED"
PAY-004,payments,amount >= 0,CRITICAL,5000,0,PASS,amount must be numeric and >= 0
INV-001,inventory,product_id references products,CRITICAL,3600,0,PASS,product_id must exist in referenced dataset
INV-002,inventory,store_id references stores,CRITICAL,3600,0,PASS,store_id must exist in referenced dataset
INV-003,inventory,on_hand_qty >= 0,CRITICAL,3600,0,PASS,on_hand_qty must be numeric and >= 0
INV-004,inventory,reorder_point >= 0,CRITICAL,3600,0,PASS,reorder_point must be numeric and >= 0
PRO-001,promotions,promotion_id UNIQUE,CRITICAL,30,0,PASS,promotion_id must be unique
PRO-002,promotions,discount_pct >= 0,CRITICAL,30,0,PASS,discount_pct must be numeric and >= 0
RED-001,promotion_redemptions,order_id references orders,CRITICAL,1200,0,PASS,order_id must exist in referenced dataset
RED-002,promotion_redemptions,promotion_id references promotions,CRITICAL,1200,0,PASS,promotion_id must exist in referenced dataset
