product_id,store_id,snapshot_date,on_hand_qty,reorder_point,stock_status
PROD-000001,STORE-0001,2026-08-31,163,12,HEALTHY
PROD-000001,STORE-0002,2026-08-31,6,22,CRITICAL
PROD-000001,STORE-0003,2026-08-31,62,19,HEALTHY
PROD-000001,STORE-0004,2026-08-31,35,11,HEALTHY
PROD-000001,STORE-0005,2026-08-31,173,39,HEALTHY
PROD-000001,STORE-0006,2026-08-31,22,42,CRITICAL
PROD-000001,STORE-0007,2026-08-31,108,7,HEALTHY
PROD-000001,STORE-0008,2026-08-31,7,10,CRITICAL
PROD-000001,STORE-0009,2026-08-31,55,19,HEALTHY
PROD-000001,STORE-0010,2026-08-31,129,43,HEALTHY
PROD-000001,STORE-0011,2026-08-31,6,40,CRITICAL
PROD-000001,STORE-0012,2026-08-31,50,50,CRITICAL
PROD-000002,STORE-0001,2026-08-31,166,49,HEALTHY
PROD-000002,STORE-0002,2026-08-31,139,31,HEALTHY
PROD-000002,STORE-0003,2026-08-31,56,33,LOW
PROD-000002,STORE-0004,2026-08-31,150,22,HEALTHY
PROD-000002,STORE-0005,2026-08-31,207,5,HEALTHY
PROD-000002,STORE-0006,2026-08-31,194,15,HEALTHY
PROD-000002,STORE-0007,2026-08-31,178,32,HEALTHY
PROD-000002,STORE-0008,2026-08-31,87,22,HEALTHY
PROD-000002,STORE-0009,2026-08-31,39,18,HEALTHY
PROD-000002,STORE-0010,2026-08-31,245,26,HEALTHY
PROD-000002,STORE-0011,2026-08-31,26,10,HEALTHY
PROD-000002,STORE-0012,2026-08-31,97,11,HEALTHY
PROD-000003,STORE-0001,2026-08-31,91,27,HEALTHY
PROD-000003,STORE-0002,2026-08-31,154,21,HEALTHY
PROD-000003,STORE-0003,2026-08-31,206,7,HEALTHY
PROD-000003,STORE-0004,2026-08-31,186,34,HEALTHY
PROD-000003,STORE-0005,2026-08-31,137,12,HEALTHY
PROD-000003,STORE-0006,2026-08-31,249,29,HEALTHY
PROD-000003,STORE-0007,2026-08-31,20,40,CRITICAL
PROD-000003,STORE-0008,2026-08-31,75,45,LOW
PROD-000003,STORE-0009,2026-08-31,158,28,HEALTHY
PROD-000003,STORE-0010,2026-08-31,147,17,HEALTHY
PROD-000003,STORE-0011,2026-08-31,180,9,HEALTHY
PROD-000003,STORE-0012,2026-08-31,11,47,CRITICAL
PROD-000004,STORE-0001,2026-08-31,58,23,HEALTHY
PROD-000004,STORE-0002,2026-08-31,20,19,LOW
PROD-000004,STORE-0003,2026-08-31,221,11,HEALTHY
PROD-000004,STORE-0004,2026-08-31,97,22,HEALTHY
