order_item_id,order_id,product_id,quantity,unit_price,discount_amount
ITEM-000000001,ORD-00000001,PROD-000013,3,89.16,4.37
ITEM-000000002,ORD-00000002,PROD-000053,5,113.39,1.97
ITEM-000000003,ORD-00000002,PROD-000217,1,39.78,0.24
ITEM-000000004,ORD-00000003,PROD-000120,5,150.5,18.12
ITEM-000000005,ORD-00000003,PROD-000288,2,13.25,1.9
ITEM-000000006,ORD-00000004,PROD-000113,4,38.45,4.53
ITEM-000000007,ORD-00000004,PROD-000004,2,61.96,8.65
ITEM-000000008,ORD-00000004,PROD-000175,3,285.03,8.86
ITEM-000000009,ORD-00000004,PROD-000173,1,253.18,4.7
ITEM-000000010,ORD-00000005,PROD-000184,3,133.98,16.18
ITEM-000000011,ORD-00000006,PROD-000236,5,24.26,0.61
ITEM-000000012,ORD-00000007,PROD-000041,5,146.19,8.57
ITEM-000000013,ORD-00000007,PROD-000186,5,39.92,1.54
ITEM-000000014,ORD-00000007,PROD-000036,1,46.08,6.09
ITEM-000000015,ORD-00000007,PROD-000149,1,175.39,30.0
ITEM-000000016,ORD-00000008,PROD-000195,3,272.68,24.73
ITEM-000000017,ORD-00000009,PROD-000084,3,138.49,9.84
ITEM-000000018,ORD-00000009,PROD-000137,1,34.68,4.22
ITEM-000000019,ORD-00000009,PROD-000088,5,144.7,21.1
ITEM-000000020,ORD-00000010,PROD-000237,4,214.52,11.58
ITEM-000000021,ORD-00000010,PROD-000286,2,239.45,32.79
ITEM-000000022,ORD-00000011,PROD-000118,1,182.0,29.3
ITEM-000000023,ORD-00000012,PROD-000138,1,256.34,10.82
ITEM-000000024,ORD-00000012,PROD-000291,3,181.27,7.71
ITEM-000000025,ORD-00000012,PROD-000256,4,26.12,4.62
ITEM-000000026,ORD-00000012,PROD-000235,2,121.53,6.44
ITEM-000000027,ORD-00000013,PROD-000288,5,13.25,0.7
ITEM-000000028,ORD-00000013,PROD-000300,4,90.24,16.2
ITEM-000000029,ORD-00000014,PROD-000186,2,39.92,7.96
ITEM-000000030,ORD-00000014,PROD-000071,5,48.6,4.8
ITEM-000000031,ORD-00000014,PROD-000025,1,124.64,3.81
ITEM-000000032,ORD-00000014,PROD-000082,4,153.69,18.33
ITEM-000000033,ORD-00000015,PROD-000196,5,266.04,53.0
ITEM-000000034,ORD-00000015,PROD-000271,3,142.48,27.67
ITEM-000000035,ORD-00000015,PROD-000006,1,20.4,2.78
ITEM-000000036,ORD-00000015,PROD-000275,3,143.99,22.13
ITEM-000000037,ORD-00000016,PROD-000058,3,86.29,7.5
ITEM-000000038,ORD-00000016,PROD-000233,1,153.78,29.34
ITEM-000000039,ORD-00000016,PROD-000135,5,164.35,25.05
ITEM-000000040,ORD-00000017,PROD-000153,5,111.79,13.62
ITEM-000000041,ORD-00000018,PROD-000192,2,222.13,23.96
ITEM-000000042,ORD-00000018,PROD-000272,1,241.9,28.98
