order_id,customer_id,store_id,order_date,channel,status,total_amount
ORD-00000001,CUST-000026,STORE-0012,2025-10-09,STORE,COMPLETED,138.49
ORD-00000002,CUST-000759,STORE-0009,2025-03-31,STORE,COMPLETED,43.13
ORD-00000003,CUST-000239,STORE-0009,2025-01-28,STORE,COMPLETED,648.68
ORD-00000004,CUST-000430,,2025-08-14,ECOMMERCE,COMPLETED,261.2
ORD-00000005,CUST-000778,,2025-06-13,ECOMMERCE,COMPLETED,316.12
ORD-00000006,CUST-000981,STORE-0006,2025-04-15,STORE,COMPLETED,100.59
ORD-00000007,CUST-000619,,2025-09-28,ECOMMERCE,COMPLETED,660.81
ORD-00000008,CUST-000997,STORE-0007,2025-03-22,STORE,COMPLETED,749.02
ORD-00000009,CUST-000883,STORE-0006,2026-08-15,STORE,COMPLETED,76.56
ORD-00000010,CUST-000792,,2025-10-24,ECOMMERCE,PENDING,771.96
ORD-00000011,CUST-000390,,2025-10-12,ECOMMERCE,COMPLETED,753.19
ORD-00000012,CUST-000364,STORE-0004,2025-10-01,STORE,COMPLETED,619.94
ORD-00000013,CUST-000651,STORE-0003,2026-07-01,STORE,COMPLETED,159.61
ORD-00000014,CUST-000948,STORE-0011,2026-07-25,STORE,COMPLETED,301.99
ORD-00000015,CUST-000058,,2025-08-23,ECOMMERCE,COMPLETED,727.47
ORD-00000016,CUST-000068,STORE-0004,2026-08-04,STORE,COMPLETED,293.49
ORD-00000017,CUST-000406,,2026-04-15,ECOMMERCE,COMPLETED,138.57
ORD-00000018,CUST-000552,,2025-09-27,ECOMMERCE,COMPLETED,394.16
ORD-00000019,CUST-000371,STORE-0004,2025-05-22,STORE,COMPLETED,95.45
ORD-00000020,CUST-000113,STORE-0003,2025-06-13,STORE,COMPLETED,388.61
ORD-00000021,CUST-000391,STORE-0010,2026-04-25,STORE,COMPLETED,874.4
ORD-00000022,CUST-000012,,2025-04-28,ECOMMERCE,COMPLETED,490.22
ORD-00000023,CUST-000657,STORE-0006,2025-04-25,STORE,COMPLETED,154.97
ORD-00000024,CUST-000740,STORE-0012,2025-09-27,STORE,RETURNED,689.34
ORD-00000025,CUST-000109,STORE-0011,2025-11-02,STORE,COMPLETED,464.28
