payment_id,order_id,payment_method,payment_status,amount
PAY-00000001,ORD-00000001,CARD,APPROVED,138.49
PAY-00000002,ORD-00000002,CARD,APPROVED,43.13
PAY-00000003,ORD-00000003,TRANSFER,APPROVED,648.68
PAY-00000004,ORD-00000004,CASH,APPROVED,261.2
PAY-00000005,ORD-00000005,CASH,APPROVED,316.12
PAY-00000006,ORD-00000006,CASH,APPROVED,100.59
PAY-00000007,ORD-00000007,CARD,APPROVED,660.81
PAY-00000008,ORD-00000008,CARD,APPROVED,749.02
PAY-00000009,ORD-00000009,WALLET,APPROVED,76.56
PAY-00000010,ORD-00000010,CARD,APPROVED,771.96
PAY-00000011,ORD-00000011,CASH,APPROVED,753.19
PAY-00000012,ORD-00000012,CASH,APPROVED,619.94
PAY-00000013,ORD-00000013,CARD,APPROVED,159.61
PAY-00000014,ORD-00000014,CASH,APPROVED,301.99
PAY-00000015,ORD-00000015,WALLET,APPROVED,727.47
PAY-00000016,ORD-00000016,CASH,APPROVED,293.49
PAY-00000017,ORD-00000017,WALLET,APPROVED,138.57
PAY-00000018,ORD-00000018,TRANSFER,APPROVED,394.16
PAY-00000019,ORD-00000019,CARD,APPROVED,95.45
PAY-00000020,ORD-00000020,CASH,APPROVED,388.61
PAY-00000021,ORD-00000021,WALLET,APPROVED,874.4
PAY-00000022,ORD-00000022,TRANSFER,APPROVED,490.22
PAY-00000023,ORD-00000023,TRANSFER,APPROVED,154.97
PAY-00000024,ORD-00000024,TRANSFER,APPROVED,689.34
PAY-00000025,ORD-00000025,CARD,APPROVED,464.28
PAY-00000026,ORD-00000026,CARD,APPROVED,831.35
PAY-00000027,ORD-00000027,TRANSFER,APPROVED,114.0
PAY-00000028,ORD-00000028,TRANSFER,APPROVED,792.04
PAY-00000029,ORD-00000029,TRANSFER,APPROVED,880.52
PAY-00000030,ORD-00000030,WALLET,REFUNDED,0.0
PAY-00000031,ORD-00000031,WALLET,REJECTED,0.0
PAY-00000032,ORD-00000032,CARD,APPROVED,609.44
PAY-00000033,ORD-00000033,TRANSFER,APPROVED,213.86
PAY-00000034,ORD-00000034,TRANSFER,APPROVED,21.36
