product_id,sku,product_name,category,unit_cost,list_price,active_flag
PROD-000001,SKU-000001,Headphones 001,Electronics,111.75,161.47,True
PROD-000002,SKU-000002,Webcam 002,Electronics,14.87,24.12,True
PROD-000003,SKU-000003,Chair 003,Home,76.79,94.19,True
PROD-000004,SKU-000004,Pasta 004,Grocery,34.63,61.96,True
PROD-000005,SKU-000005,Keyboard 005,Electronics,105.32,162.22,True
PROD-000006,SKU-000006,Ball 006,Sports,15.73,20.4,True
PROD-000007,SKU-000007,Cereal 007,Grocery,121.45,234.37,True
PROD-000008,SKU-000008,Shampoo 008,Beauty,83.7,169.86,True
PROD-000009,SKU-000009,Bottle 009,Sports,30.46,38.67,True
PROD-000010,SKU-000010,Ball 010,Sports,128.59,265.73,True
PROD-000011,SKU-000011,Perfume 011,Beauty,26.07,40.55,True
PROD-000012,SKU-000012,Webcam 012,Electronics,95.98,166.44,True
PROD-000013,SKU-000013,Soap 013,Beauty,41.95,89.16,True
PROD-000014,SKU-000014,Desk 014,Home,126.74,250.44,True
PROD-000015,SKU-000015,Mouse 015,Electronics,61.37,77.71,True
PROD-000016,SKU-000016,Cereal 016,Grocery,33.47,56.87,True
PROD-000017,SKU-000017,Cream 017,Beauty,41.2,59.6,True
PROD-000018,SKU-000018,Bottle 018,Sports,65.41,116.66,True
PROD-000019,SKU-000019,Vacuum 019,Home,75.04,146.76,True
PROD-000020,SKU-000020,Chair 020,Home,119.23,193.41,True
PROD-000021,SKU-000021,Serum 021,Beauty,149.43,258.38,False
PROD-000022,SKU-000022,Headphones 022,Electronics,102.89,178.72,True
PROD-000023,SKU-000023,Ball 023,Sports,45.44,61.71,True
PROD-000024,SKU-000024,Bottle 024,Sports,114.77,195.99,True
PROD-000025,SKU-000025,Bottle 025,Sports,92.13,124.64,True
PROD-000026,SKU-000026,Oil 026,Grocery,137.94,248.15,True
PROD-000027,SKU-000027,Mouse 027,Electronics,132.05,268.28,True
PROD-000028,SKU-000028,Keyboard 028,Electronics,131.95,283.29,True
PROD-000029,SKU-000029,Shampoo 029,Beauty,146.74,254.26,True
PROD-000030,SKU-000030,Serum 030,Beauty,26.44,45.68,True
PROD-000031,SKU-000031,Vacuum 031,Home,113.78,215.03,True
PROD-000032,SKU-000032,Perfume 032,Beauty,66.84,114.8,True
PROD-000033,SKU-000033,Lamp 033,Home,52.04,93.06,True
PROD-000034,SKU-000034,Lamp 034,Home,12.51,22.91,True
PROD-000035,SKU-000035,Mouse 035,Electronics,12.49,17.96,True
PROD-000036,SKU-000036,Vacuum 036,Home,21.58,46.08,True
PROD-000037,SKU-000037,Cream 037,Beauty,118.12,237.13,True
PROD-000038,SKU-000038,Monitor 038,Electronics,54.44,87.71,True
PROD-000039,SKU-000039,Headphones 039,Electronics,10.97,21.15,True
PROD-000040,SKU-000040,Keyboard 040,Electronics,30.36,52.71,True
PROD-000041,SKU-000041,Desk 041,Home,70.47,146.19,True
PROD-000042,SKU-000042,Coffee 042,Grocery,9.49,20.87,True
PROD-000043,SKU-000043,Keyboard 043,Electronics,26.61,44.85,True
PROD-000044,SKU-000044,Shampoo 044,Beauty,26.37,31.7,True
PROD-000045,SKU-000045,Perfume 045,Beauty,64.61,139.38,False
PROD-000046,SKU-000046,Pasta 046,Grocery,24.91,37.28,False
PROD-000047,SKU-000047,Oil 047,Grocery,11.02,16.68,True
PROD-000048,SKU-000048,Serum 048,Beauty,138.07,239.02,True
PROD-000049,SKU-000049,Coffee 049,Grocery,128.0,162.37,True
PROD-000050,SKU-000050,Pan 050,Home,19.74,41.26,True
PROD-000051,SKU-000051,Coffee 051,Grocery,93.67,151.67,True
PROD-000052,SKU-000052,Cereal 052,Grocery,140.34,197.07,True
PROD-000053,SKU-000053,Desk 053,Home,60.58,113.39,True
PROD-000054,SKU-000054,Ball 054,Sports,3.38,6.16,True
PROD-000055,SKU-000055,Headphones 055,Electronics,81.57,139.15,True
PROD-000056,SKU-000056,Ball 056,Sports,132.13,207.38,True
PROD-000057,SKU-000057,Cereal 057,Grocery,92.53,202.38,True
PROD-000058,SKU-000058,Webcam 058,Electronics,46.31,86.29,True
PROD-000059,SKU-000059,Desk 059,Home,19.08,24.94,True
PROD-000060,SKU-000060,Jersey 060,Sports,91.51,175.48,True
PROD-000061,SKU-000061,Bottle 061,Sports,74.3,156.43,True
PROD-000062,SKU-000062,Monitor 062,Electronics,124.74,155.19,True
PROD-000063,SKU-000063,Desk 063,Home,25.91,42.54,True
PROD-000064,SKU-000064,Coffee 064,Grocery,18.56,39.81,True
PROD-000065,SKU-000065,Vacuum 065,Home,7.33,11.5,True
PROD-000066,SKU-000066,Cream 066,Beauty,8.19,12.81,True
PROD-000067,SKU-000067,Mouse 067,Electronics,33.09,47.96,True
PROD-000068,SKU-000068,Pasta 068,Grocery,146.13,284.88,True
PROD-000069,SKU-000069,Chair 069,Home,146.48,294.54,True
PROD-000070,SKU-000070,Keyboard 070,Electronics,111.01,170.09,True
PROD-000071,SKU-000071,Desk 071,Home,25.56,48.6,True
PROD-000072,SKU-000072,Monitor 072,Electronics,34.92,70.42,True
PROD-000073,SKU-000073,Shoes 073,Sports,34.99,65.08,True
PROD-000074,SKU-000074,Ball 074,Sports,145.1,214.62,True
PROD-000075,SKU-000075,Serum 075,Beauty,51.01,62.62,True
PROD-000076,SKU-000076,Shoes 076,Sports,87.93,192.0,True
PROD-000077,SKU-000077,Pasta 077,Grocery,53.16,105.6,True
PROD-000078,SKU-000078,Coffee 078,Grocery,59.01,104.84,True
PROD-000079,SKU-000079,Shampoo 079,Beauty,78.95,158.41,True
PROD-000080,SKU-000080,Desk 080,Home,65.83,141.46,True
PROD-000081,SKU-000081,Cereal 081,Grocery,100.18,132.7,True
PROD-000082,SKU-000082,Cereal 082,Grocery,100.7,153.69,True
PROD-000083,SKU-000083,Tea 083,Grocery,30.39,56.68,True
PROD-000084,SKU-000084,Vacuum 084,Home,86.23,138.49,True
PROD-000085,SKU-000085,Jersey 085,Sports,33.11,65.75,True
PROD-000086,SKU-000086,Mat 086,Sports,67.38,126.38,True
