redemption_id,order_id,promotion_id,discount_amount
RED-0000001,ORD-00000913,PROMO-0001,56.13
RED-0000002,ORD-00002007,PROMO-0008,12.19
RED-0000003,ORD-00000840,PROMO-0022,56.07
RED-0000004,ORD-00004468,PROMO-0003,45.11
RED-0000005,ORD-00000261,PROMO-0001,8.84
RED-0000006,ORD-00001906,PROMO-0017,45.95
RED-0000007,ORD-00004598,PROMO-0007,54.27
RED-0000008,ORD-00004465,PROMO-0014,18.09
RED-0000009,ORD-00004828,PROMO-0009,61.09
RED-0000010,ORD-00000054,PROMO-0025,60.82
RED-0000011,ORD-00003463,PROMO-0011,22.28
RED-0000012,ORD-00001764,PROMO-0025,26.57
RED-0000013,ORD-00000760,PROMO-0013,9.06
RED-0000014,ORD-00002818,PROMO-0020,21.31
RED-0000015,ORD-00000356,PROMO-0024,35.54
RED-0000016,ORD-00001023,PROMO-0030,29.63
RED-0000017,ORD-00004523,PROMO-0010,62.55
RED-0000018,ORD-00002963,PROMO-0019,16.04
RED-0000019,ORD-00000570,PROMO-0002,50.27
RED-0000020,ORD-00002371,PROMO-0003,64.44
RED-0000021,ORD-00000828,PROMO-0013,22.29
RED-0000022,ORD-00002989,PROMO-0006,29.02
RED-0000023,ORD-00001717,PROMO-0022,21.49
RED-0000024,ORD-00000585,PROMO-0020,48.35
RED-0000025,ORD-00004376,PROMO-0024,19.87
RED-0000026,ORD-00003787,PROMO-0013,21.71
RED-0000027,ORD-00004563,PROMO-0008,51.98
RED-0000028,ORD-00000459,PROMO-0008,61.99
RED-0000029,ORD-00002585,PROMO-0013,21.55
RED-0000030,ORD-00001729,PROMO-0030,70.83
RED-0000031,ORD-00002578,PROMO-0007,49.85
RED-0000032,ORD-00003242,PROMO-0029,68.76
RED-0000033,ORD-00003759,PROMO-0005,21.34
RED-0000034,ORD-00002021,PROMO-0024,42.98
RED-0000035,ORD-00002153,PROMO-0024,44.67
RED-0000036,ORD-00004781,PROMO-0013,28.43
RED-0000037,ORD-00001134,PROMO-0017,38.03
RED-0000038,ORD-00000386,PROMO-0028,10.0
RED-0000039,ORD-00001311,PROMO-0026,51.68
RED-0000040,ORD-00004886,PROMO-0003,30.09
RED-0000041,ORD-00004882,PROMO-0015,40.63
RED-0000042,ORD-00004533,PROMO-0028,70.8
RED-0000043,ORD-00000939,PROMO-0022,66.59
RED-0000044,ORD-00002186,PROMO-0025,48.79
RED-0000045,ORD-00000914,PROMO-0010,33.74
RED-0000046,ORD-00003717,PROMO-0001,71.63
RED-0000047,ORD-00002158,PROMO-0017,57.62
RED-0000048,ORD-00004159,PROMO-0030,9.77
RED-0000049,ORD-00002445,PROMO-0027,48.64
RED-0000050,ORD-00004989,PROMO-0007,13.16
RED-0000051,ORD-00001324,PROMO-0018,71.61
RED-0000052,ORD-00004345,PROMO-0030,2.04
