promotion_id,promotion_name,discount_pct,start_date,end_date,active_flag
PROMO-0001,WELCOME-01,15,2025-04-25,2026-04-25,True
PROMO-0002,HOTSALE-02,10,2025-09-08,2026-08-31,True
PROMO-0003,FLASH-03,5,2025-04-15,2026-04-15,True
PROMO-0004,WELCOME-04,5,2026-03-09,2026-08-31,True
PROMO-0005,HOTSALE-05,10,2025-04-06,2026-04-06,True
PROMO-0006,FLASH-06,5,2026-06-02,2026-08-31,True
PROMO-0007,FLASH-07,20,2025-07-23,2026-07-23,True
PROMO-0008,LOYALTY-08,25,2025-08-14,2026-08-14,True
PROMO-0009,WELCOME-09,10,2025-10-12,2026-08-31,True
PROMO-0010,SEASONAL-10,15,2026-03-09,2026-08-31,True
PROMO-0011,HOTSALE-11,15,2025-06-09,2026-06-09,True
PROMO-0012,WELCOME-12,20,2025-04-15,2026-04-15,True
PROMO-0013,SEASONAL-13,15,2025-04-10,2026-04-10,True
PROMO-0014,WELCOME-14,20,2025-09-28,2026-08-31,True
PROMO-0015,LOYALTY-15,5,2025-05-08,2026-05-08,True
PROMO-0016,FLASH-16,15,2025-10-28,2026-08-31,True
PROMO-0017,WELCOME-17,5,2025-07-16,2026-07-16,True
PROMO-0018,SEASONAL-18,5,2025-08-22,2026-08-22,True
PROMO-0019,WELCOME-19,20,2025-08-27,2026-08-27,True
PROMO-0020,LOYALTY-20,15,2025-10-12,2026-08-31,True
PROMO-0021,SEASONAL-21,15,2025-06-16,2026-06-16,True
PROMO-0022,SEASONAL-22,5,2025-08-03,2026-08-03,True
PROMO-0023,FLASH-23,10,2025-06-25,2026-06-25,True
PROMO-0024,LOYALTY-24,20,2025-06-17,2026-06-17,True
PROMO-0025,FLASH-25,10,2025-10-04,2026-08-31,True
PROMO-0026,WELCOME-26,10,2025-11-29,2026-08-31,True
PROMO-0027,SEASONAL-27,20,2025-02-02,2026-02-02,True
PROMO-0028,WELCOME-28,10,2025-10-02,2026-08-31,True
PROMO-0029,HOTSALE-29,20,2025-11-19,2026-08-31,True
PROMO-0030,LOYALTY-30,10,2026-02-10,2026-08-31,True
